Date,price
1986-03-26,0.057797972112894
1986-03-27,0.0588584244251251
1986-03-31,0.0583282150328159
1986-04-01,0.057797972112894
1986-04-02,0.0583282150328159
1986-04-03,0.0588584244251251
1986-04-04,0.0588584244251251
1986-04-07,0.057797972112894
1986-04-08,0.0583282150328159
1986-04-09,0.0593886375427246
1986-04-10,0.0599188767373561
1986-04-11,0.0609792992472648
1986-04-14,0.0615095384418964
1986-04-15,0.0615095384418964
1986-04-16,0.0636310428380966
1986-04-17,0.0641612261533737
1986-04-18,0.062040377408266
1986-04-21,0.062040377408266
1986-04-22,0.0609792992472648
1986-04-23,0.0612444281578063
1986-04-24,0.067342609167099
1986-04-25,0.0715849921107292
1986-04-28,0.0721152126789093
1986-04-29,0.0699937343597412
1986-04-30,0.0684030503034591
1986-05-01,0.067342609167099
1986-05-02,0.067342609167099
1986-05-05,0.0668123811483383
1986-05-06,0.067342609167099
1986-05-07,0.067342609167099
1986-05-08,0.0678728222846984
1986-05-09,0.067342609167099
1986-05-12,0.0678728222846984
1986-05-13,0.0684030503034591
1986-05-14,0.0678728222846984
1986-05-15,0.0678728222846984
1986-05-16,0.0684030503034591
1986-05-19,0.067342609167099
1986-05-20,0.0668123811483383
1986-05-21,0.0657519027590751
1986-05-22,0.0657519027590751
1986-05-23,0.0657519027590751
1986-05-27,0.0678728222846984
1986-05-28,0.0699937343597412
1986-05-29,0.0715849921107292
1986-05-30,0.0742361024022102
1986-06-02,0.0721152126789093
1986-06-03,0.0721152126789093
1986-06-04,0.0715849921107292
1986-06-05,0.0726454481482505
1986-06-06,0.0726454481482505
1986-06-09,0.0694634914398193
1986-06-10,0.0694634914398193
1986-06-11,0.0694634914398193
1986-06-12,0.0668123811483383
1986-06-13,0.0668123811483383
1986-06-16,0.066282145678997
1986-06-17,0.067342609167099
1986-06-18,0.0668123811483383
1986-06-19,0.066282145678997
1986-06-20,0.0665472671389579
1986-06-23,0.067342609167099
1986-06-24,0.0668123811483383
1986-06-25,0.0657519027590751
1986-06-26,0.0636310428380966
1986-06-27,0.0631007924675941
1986-06-30,0.0652216970920562
1986-07-01,0.0652216970920562
1986-07-02,0.0652216970920562
1986-07-03,0.066282145678997
1986-07-07,0.0636310428380966
1986-07-08,0.062040377408266
1986-07-09,0.0593886375427246
1986-07-10,0.057797972112894
1986-07-11,0.0593886375427246
1986-07-14,0.0585932731628418
1986-07-15,0.0593886375427246
1986-07-16,0.0615095384418964
1986-07-17,0.0625705942511558
1986-07-18,0.0631007924675941
1986-07-21,0.0631007924675941
1986-07-22,0.0652216970920562
1986-07-23,0.0636310428380966
1986-07-24,0.0657519027590751
1986-07-25,0.066282145678997
1986-07-28,0.0646914765238761
1986-07-29,0.0631007924675941
1986-07-30,0.0609792992472648
1986-07-31,0.0604490898549556
1986-08-01,0.0599188767373561
1986-08-04,0.0599188767373561
1986-08-05,0.0593886375427246
1986-08-06,0.0588584244251251
1986-08-07,0.0583282150328159
1986-08-08,0.0588584244251251
1986-08-11,0.0609792992472648
1986-08-12,0.0625705942511558
1986-08-13,0.0631007924675941
1986-08-14,0.0646914765238761
1986-08-15,0.0649566054344177
1986-08-18,0.0641612261533737
1986-08-19,0.0641612261533737
1986-08-20,0.0636310428380966
1986-08-21,0.0636310428380966
1986-08-22,0.0625705942511558
1986-08-25,0.0625705942511558
1986-08-26,0.062040377408266
1986-08-27,0.062040377408266
1986-08-28,0.062040377408266
1986-08-29,0.0604490898549556
1986-09-02,0.0588584244251251
1986-09-03,0.0572677366435527
1986-09-04,0.062040377408266
1986-09-05,0.0646914765238761
1986-09-08,0.0641612261533737
1986-09-09,0.0652216970920562
1986-09-10,0.0641612261533737
1986-09-11,0.0615095384418964
1986-09-12,0.0599188767373561
1986-09-15,0.0609792992472648
1986-09-16,0.0609792992472648
1986-09-17,0.0625705942511558
1986-09-18,0.0631007924675941
1986-09-19,0.0631007924675941
1986-09-22,0.0625705942511558
1986-09-23,0.0636310428380966
1986-09-24,0.0628356784582138
1986-09-25,0.0615095384418964
1986-09-26,0.0615095384418964
1986-09-29,0.0599188767373561
1986-09-30,0.0599188767373561
1986-10-01,0.0593886375427246
1986-10-02,0.0593886375427246
1986-10-03,0.0599188767373561
1986-10-06,0.0646914765238761
1986-10-07,0.066017061471939
1986-10-08,0.0678728222846984
1986-10-09,0.0699937343597412
1986-10-10,0.07317566126585
1986-10-13,0.0699937343597412
1986-10-14,0.0710541531443595
1986-10-15,0.0742361024022102
1986-10-16,0.0742361024022102
1986-10-17,0.0763570219278335
1986-10-20,0.0768872052431106
1986-10-21,0.0800685808062553
1986-10-22,0.0800685808062553
1986-10-23,0.0800685808062553
1986-10-24,0.0795383229851722
1986-10-27,0.0821900740265846
1986-10-28,0.0840458422899246
1986-10-29,0.0816598683595657
1986-10-30,0.0832505002617836
1986-10-31,0.0821900740265846
1986-11-03,0.0837807655334472
1986-11-04,0.0869620516896247
1986-11-05,0.0922649204730987
1986-11-06,0.0943857729434967
1986-11-07,0.0938555598258972
1986-11-10,0.0901434198021888
1986-11-11,0.0906742662191391
1986-11-12,0.0906742662191391
1986-11-13,0.0893480777740478
1986-11-14,0.0901434198021888
1986-11-17,0.0906742662191391
1986-11-18,0.0859016478061676
1986-11-19,0.0890829563140869
1986-11-20,0.0959764569997787
1986-11-21,0.0991577953100204
1986-11-24,0.107111781835556
1986-11-25,0.1081722676753997
1986-11-26,0.107111781835556
1986-11-28,0.1055210679769516
1986-12-01,0.1034001782536506
1986-12-02,0.1039304733276367
1986-12-03,0.1031350344419479
